Email,Status
Rofl. Its true to its name,not_reject
The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,not_reject
"Pity, * was in mood for that. So...any other suggestions?",not_reject
Will  b going to esplanade fr home?,not_reject
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",not_reject
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",not_reject
Huh y lei...,not_reject
Why don't you wait 'til at least wednesday to see if you get your .,not_reject
Ard 6 like dat lor.,not_reject
Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,not_reject
Get me out of this dump heap. My mom decided to come to lowes. BORING.,not_reject
Anything lor. Juz both of us lor.,not_reject
if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,not_reject
"Sorry, I'll call later",not_reject
No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,not_reject
Yes i have. So that's why u texted. Pshew...missing you so much,not_reject
Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,not_reject
Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,not_reject
Hahaha..use your brain dear,not_reject
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,not_reject
Wen did you get so spiritual and deep. That's great,not_reject
"Cool, what time you think you can get here?",not_reject
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",not_reject
"No, I was trying it all weekend ;V",not_reject
Ic. There are a lotta childporn cars then.,not_reject
Hi its in durban are you still on this number,not_reject
"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",not_reject
U still havent got urself a jacket ah?,not_reject
Armand says get your ass over to epsilon,not_reject
Yeah it's jus rite...,not_reject
